epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.806,1.53368,2.61543,1.85453,1.31323,0.50156,0.48802,0.48825,0.28553,0.48794,0.47478,0.45886,0.24299,1.65782,2.83376,27.958,1.38679,0.000664723,0.000664723,0.000664723
2,672.222,1.42622,2.34488,1.23978,1.2243,0.70799,0.59571,0.64207,0.35943,0.69274,0.5819,0.61688,0.30576,1.48554,2.52737,2.25222,1.31498,0.00128745,0.00128745,0.00128745
3,1004.2,1.36998,2.2248,1.16692,1.20316,0.6273,0.52691,0.52942,0.23943,0.53439,0.46041,0.41297,0.14288,1.7137,11.2517,2.76088,1.49167,0.00186618,0.00186618,0.00186618
4,1334.24,1.33837,2.16866,1.10574,1.18342,0.72757,0.65568,0.71573,0.41646,0.69919,0.60713,0.64444,0.34215,1.63646,2.76746,1.72722,1.40688,0.001802,0.001802,0.001802
5,1664.02,1.26676,2.06221,1.00632,1.14914,0.72704,0.70048,0.74798,0.46131,0.7202,0.69119,0.72412,0.421,1.39729,2.2811,1.71025,1.26253,0.001736,0.001736,0.001736
6,1993.22,1.2063,1.91734,0.90567,1.11192,0.77749,0.70471,0.77099,0.47435,0.77805,0.68442,0.7415,0.43696,1.34828,2.0979,1.38413,1.2033,0.00167,0.00167,0.00167
7,2322.23,1.16277,1.85887,0.85832,1.09249,0.74271,0.71682,0.76438,0.48436,0.7329,0.70358,0.73268,0.42956,1.40097,2.20013,1.57864,1.26232,0.001604,0.001604,0.001604
8,2650.75,1.12082,1.78999,0.8084,1.0693,0.76611,0.73429,0.79508,0.50429,0.75924,0.71085,0.76167,0.45667,1.32405,2.13869,1.19551,1.20224,0.001538,0.001538,0.001538
9,2979.47,1.08696,1.68431,0.76428,1.05628,0.75482,0.71175,0.75277,0.48293,0.75116,0.69831,0.73252,0.43964,1.3055,2.18625,1.33096,1.21361,0.001472,0.001472,0.001472
10,3307.8,1.06495,1.59357,0.72395,1.03917,0.75546,0.73119,0.77418,0.48538,0.74125,0.71429,0.7464,0.44458,1.31471,2.17055,1.31132,1.20266,0.001406,0.001406,0.001406
11,3636.45,1.02699,1.53196,0.67612,1.02072,0.757,0.71231,0.77455,0.47657,0.74471,0.68245,0.73357,0.43886,1.3647,2.27482,1.28804,1.22814,0.00134,0.00134,0.00134
12,3964.66,0.99105,1.47184,0.65155,1.01058,0.78324,0.69682,0.7666,0.48066,0.76943,0.6817,0.73836,0.4327,1.33171,2.25465,1.21044,1.23026,0.001274,0.001274,0.001274
13,4292.43,0.96081,1.36629,0.61476,0.99509,0.78548,0.71429,0.78462,0.50092,0.76987,0.69005,0.74309,0.43297,1.39398,2.55588,1.23786,1.25838,0.001208,0.001208,0.001208
14,4620.91,0.92455,1.30865,0.58678,0.98568,0.75828,0.74641,0.78428,0.50244,0.74217,0.72781,0.74359,0.44355,1.32529,2.46831,1.17131,1.24809,0.001142,0.001142,0.001142
15,4951.09,0.88407,1.21504,0.54997,0.96296,0.77222,0.74162,0.79095,0.51192,0.75367,0.72274,0.75195,0.45671,1.33562,2.4239,1.41654,1.24006,0.001076,0.001076,0.001076
16,5280.87,0.85171,1.138,0.52721,0.94888,0.76365,0.75796,0.79782,0.52076,0.76227,0.71372,0.76373,0.46567,1.36509,2.46455,1.18737,1.28658,0.00101,0.00101,0.00101
17,5610.5,0.8094,1.09319,0.49063,0.93323,0.78022,0.73147,0.77257,0.50502,0.76027,0.71039,0.7373,0.45196,1.30424,2.54503,1.17156,1.23544,0.000944,0.000944,0.000944
18,5940.54,0.77867,1.0171,0.46755,0.91962,0.75993,0.74951,0.78092,0.51251,0.74502,0.72274,0.74404,0.45509,1.31277,2.75678,1.24511,1.23945,0.000878,0.000878,0.000878
19,6270.4,0.73904,0.97646,0.44632,0.90964,0.76255,0.74292,0.77352,0.50352,0.74685,0.72527,0.74001,0.45001,1.33103,2.77571,1.16266,1.25534,0.000812,0.000812,0.000812
20,6599.45,0.70833,0.91415,0.42286,0.90007,0.77492,0.73147,0.77645,0.51081,0.75552,0.70781,0.74073,0.45242,1.3296,2.95894,1.19632,1.2658,0.000746,0.000746,0.000746
21,6932.16,0.66699,0.86125,0.40299,0.88714,0.78984,0.7202,0.77845,0.51742,0.76632,0.70226,0.74521,0.46153,1.32734,2.97207,1.22329,1.26955,0.00068,0.00068,0.00068
22,7261.77,0.62633,0.79312,0.38263,0.87373,0.77157,0.72903,0.76594,0.50051,0.75241,0.71071,0.73107,0.44758,1.31607,3.19638,1.3088,1.27426,0.000614,0.000614,0.000614
23,7591.12,0.60612,0.78036,0.37063,0.86612,0.76321,0.75015,0.76474,0.49857,0.74113,0.72845,0.72608,0.44221,1.30888,3.35154,1.3388,1.26177,0.000548,0.000548,0.000548
24,7920.69,0.56825,0.69895,0.34988,0.85619,0.76028,0.74528,0.76946,0.50198,0.73465,0.72246,0.73017,0.4488,1.31941,3.49356,1.19614,1.28101,0.000482,0.000482,0.000482
25,8250.41,0.54059,0.67855,0.33691,0.84928,0.79302,0.71684,0.76522,0.50432,0.77151,0.6974,0.73316,0.45051,1.31564,3.60211,1.29643,1.27661,0.000416,0.000416,0.000416
26,8579.48,0.50455,0.61301,0.32092,0.84268,0.76654,0.73552,0.76646,0.50629,0.74652,0.71485,0.73118,0.45139,1.31441,3.87224,1.35602,1.29296,0.00035,0.00035,0.00035
27,8909.74,0.47805,0.59291,0.31118,0.83472,0.76297,0.73828,0.7647,0.50238,0.74403,0.714,0.73165,0.45103,1.34845,4.08428,1.29233,1.32184,0.000284,0.000284,0.000284
28,9239.61,0.44864,0.56374,0.29872,0.82917,0.77963,0.72189,0.76857,0.51107,0.75778,0.70217,0.73563,0.45468,1.31239,4.28823,1.34742,1.31816,0.000218,0.000218,0.000218
29,9569.25,0.42458,0.52572,0.28796,0.82356,0.77449,0.7287,0.76836,0.5074,0.73707,0.72275,0.7346,0.44967,1.32391,4.5288,1.29984,1.32137,0.000152,0.000152,0.000152
30,9898.91,0.39412,0.49063,0.27366,0.81857,0.77842,0.72457,0.76541,0.5052,0.74629,0.71445,0.73176,0.44895,1.32682,4.63911,1.28223,1.32898,8.6e-05,8.6e-05,8.6e-05
